"root","link","channel","lastChecked","liveliness","id","country","mbps","format","status","URI","URI_1"
719,"http://exodus1.eu:8080/blue123/blue123/501223?checkedby:iptvcat.com","BT SPORTS 1 SD","2020-11-10T00:00:00Z","85","589097","united kingdom","1509","sd","offline",4,"sport"
720,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67063?checkedby:iptvcat.com","BT SPORTS 2","2020-11-09T00:00:00Z","100","612855","united kingdom","13873","fhd 2k","online",1,"united kingdom"
720,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67063?checkedby:iptvcat.com","BT SPORTS 2","2020-11-09T00:00:00Z","100","612855","united kingdom","13873","fhd 2k","online",2,"europe"
720,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67063?checkedby:iptvcat.com","BT SPORTS 2","2020-11-09T00:00:00Z","100","612855","united kingdom","13873","fhd 2k","online",3,"united_kingdom"
720,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67063?checkedby:iptvcat.com","BT SPORTS 2","2020-11-09T00:00:00Z","100","612855","united kingdom","13873","fhd 2k","online",4,"sport"
721,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67075?checkedby:iptvcat.com","BT SPORTS 3","2020-11-09T00:00:00Z","100","612856","united kingdom","13873","fhd 2k","online",1,"united kingdom"
721,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67075?checkedby:iptvcat.com","BT SPORTS 3","2020-11-09T00:00:00Z","100","612856","united kingdom","13873","fhd 2k","online",2,"europe"
721,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67075?checkedby:iptvcat.com","BT SPORTS 3","2020-11-09T00:00:00Z","100","612856","united kingdom","13873","fhd 2k","online",3,"united_kingdom"
721,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67075?checkedby:iptvcat.com","BT SPORTS 3","2020-11-09T00:00:00Z","100","612856","united kingdom","13873","fhd 2k","online",4,"sport"
722,"http://exodus1.eu:8080/blue123/blue123/501232?checkedby:iptvcat.com","BT SPORTS 3 SD","2020-11-10T00:00:00Z","75","589096","united kingdom","1509","sd","offline",1,"united kingdom"
722,"http://exodus1.eu:8080/blue123/blue123/501232?checkedby:iptvcat.com","BT SPORTS 3 SD","2020-11-10T00:00:00Z","75","589096","united kingdom","1509","sd","offline",2,"europe"
722,"http://exodus1.eu:8080/blue123/blue123/501232?checkedby:iptvcat.com","BT SPORTS 3 SD","2020-11-10T00:00:00Z","75","589096","united kingdom","1509","sd","offline",3,"united_kingdom"
722,"http://exodus1.eu:8080/blue123/blue123/501232?checkedby:iptvcat.com","BT SPORTS 3 SD","2020-11-10T00:00:00Z","75","589096","united kingdom","1509","sd","offline",4,"sport"
723,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67076?checkedby:iptvcat.com","BT SPORTS ESPN","2020-11-09T00:00:00Z","100","612857","united kingdom","13873","fhd 2k","online",1,"united kingdom"
723,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67076?checkedby:iptvcat.com","BT SPORTS ESPN","2020-11-09T00:00:00Z","100","612857","united kingdom","13873","fhd 2k","online",2,"europe"
723,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67076?checkedby:iptvcat.com","BT SPORTS ESPN","2020-11-09T00:00:00Z","100","612857","united kingdom","13873","fhd 2k","online",3,"united_kingdom"
723,"http://185.232.53.5:2086/arellano/kgtL965n2Y/67076?checkedby:iptvcat.com","BT SPORTS ESPN","2020-11-09T00:00:00Z","100","612857","united kingdom","13873","fhd 2k","online",4,"sport"
724,"http://exodus1.eu:8080/blue123/blue123/501242?checkedby:iptvcat.com","BT SPORTS EXTRA 1","2020-11-10T00:00:00Z","96","589094","united kingdom","1509","sd","offline",1,"united kingdom"
724,"http://exodus1.eu:8080/blue123/blue123/501242?checkedby:iptvcat.com","BT SPORTS EXTRA 1","2020-11-10T00:00:00Z","96","589094","united kingdom","1509","sd","offline",2,"europe"
724,"http://exodus1.eu:8080/blue123/blue123/501242?checkedby:iptvcat.com","BT SPORTS EXTRA 1","2020-11-10T00:00:00Z","96","589094","united kingdom","1509","sd","offline",3,"united_kingdom"
724,"http://exodus1.eu:8080/blue123/blue123/501242?checkedby:iptvcat.com","BT SPORTS EXTRA 1","2020-11-10T00:00:00Z","96","589094","united kingdom","1509","sd","offline",4,"sport"
725,"http://exodus1.eu:8080/blue123/blue123/501243?checkedby:iptvcat.com","BT SPORTS EXTRA 2","2020-11-10T00:00:00Z","96","589093","united kingdom","1509","sd","offline",1,"united kingdom"
725,"http://exodus1.eu:8080/blue123/blue123/501243?checkedby:iptvcat.com","BT SPORTS EXTRA 2","2020-11-10T00:00:00Z","96","589093","united kingdom","1509","sd","offline",2,"europe"
725,"http://exodus1.eu:8080/blue123/blue123/501243?checkedby:iptvcat.com","BT SPORTS EXTRA 2","2020-11-10T00:00:00Z","96","589093","united kingdom","1509","sd","offline",3,"united_kingdom"
725,"http://exodus1.eu:8080/blue123/blue123/501243?checkedby:iptvcat.com","BT SPORTS EXTRA 2","2020-11-10T00:00:00Z","96","589093","united kingdom","1509","sd","offline",4,"sport"
726,"http://exodus1.eu:8080/blue123/blue123/501244?checkedby:iptvcat.com","BT SPORTS EXTRA 3","2020-11-09T00:00:00Z","85","589092","united kingdom","1509","sd","offline",1,"united kingdom"
726,"http://exodus1.eu:8080/blue123/blue123/501244?checkedby:iptvcat.com","BT SPORTS EXTRA 3","2020-11-09T00:00:00Z","85","589092","united kingdom","1509","sd","offline",2,"europe"
726,"http://exodus1.eu:8080/blue123/blue123/501244?checkedby:iptvcat.com","BT SPORTS EXTRA 3","2020-11-09T00:00:00Z","85","589092","united kingdom","1509","sd","offline",3,"united_kingdom"
726,"http://exodus1.eu:8080/blue123/blue123/501244?checkedby:iptvcat.com","BT SPORTS EXTRA 3","2020-11-09T00:00:00Z","85","589092","united kingdom","1509","sd","offline",4,"sport"
727,"http://exodus1.eu:8080/blue123/blue123/501245?checkedby:iptvcat.com","BT SPORTS EXTRA 4","2020-11-09T00:00:00Z","85","589091","united kingdom","1509","sd","offline",1,"united kingdom"
727,"http://exodus1.eu:8080/blue123/blue123/501245?checkedby:iptvcat.com","BT SPORTS EXTRA 4","2020-11-09T00:00:00Z","85","589091","united kingdom","1509","sd","offline",2,"europe"
727,"http://exodus1.eu:8080/blue123/blue123/501245?checkedby:iptvcat.com","BT SPORTS EXTRA 4","2020-11-09T00:00:00Z","85","589091","united kingdom","1509","sd","offline",3,"united_kingdom"
727,"http://exodus1.eu:8080/blue123/blue123/501245?checkedby:iptvcat.com","BT SPORTS EXTRA 4","2020-11-09T00:00:00Z","85","589091","united kingdom","1509","sd","offline",4,"sport"
728,"http://exodus1.eu:8080/blue123/blue123/501247?checkedby:iptvcat.com","BT SPORTS EXTRA 6","2020-11-10T00:00:00Z","96","589090","united kingdom","1509","sd","offline",1,"united kingdom"
728,"http://exodus1.eu:8080/blue123/blue123/501247?checkedby:iptvcat.com","BT SPORTS EXTRA 6","2020-11-10T00:00:00Z","96","589090","united kingdom","1509","sd","offline",2,"europe"
728,"http://exodus1.eu:8080/blue123/blue123/501247?checkedby:iptvcat.com","BT SPORTS EXTRA 6","2020-11-10T00:00:00Z","96","589090","united kingdom","1509","sd","offline",3,"united_kingdom"
728,"http://exodus1.eu:8080/blue123/blue123/501247?checkedby:iptvcat.com","BT SPORTS EXTRA 6","2020-11-10T00:00:00Z","96","589090","united kingdom","1509","sd","offline",4,"sport"
729,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62026?checkedby:iptvcat.com","BT Sport 1 (tr)(1080)","2020-11-10T00:00:00Z","33","635710","united kingdom","5991","hd","offline",1,"united kingdom"
729,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62026?checkedby:iptvcat.com","BT Sport 1 (tr)(1080)","2020-11-10T00:00:00Z","33","635710","united kingdom","5991","hd","offline",2,"europe"
729,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62026?checkedby:iptvcat.com","BT Sport 1 (tr)(1080)","2020-11-10T00:00:00Z","33","635710","united kingdom","5991","hd","offline",3,"united_kingdom"
729,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62026?checkedby:iptvcat.com","BT Sport 1 (tr)(1080)","2020-11-10T00:00:00Z","33","635710","united kingdom","5991","hd","offline",4,"sport"
730,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62027?checkedby:iptvcat.com","BT Sport 2 (tr)(1080)","2020-11-09T00:00:00Z","56","635711","united kingdom","13873","fhd 2k","online",1,"united kingdom"
730,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62027?checkedby:iptvcat.com","BT Sport 2 (tr)(1080)","2020-11-09T00:00:00Z","56","635711","united kingdom","13873","fhd 2k","online",2,"europe"
730,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62027?checkedby:iptvcat.com","BT Sport 2 (tr)(1080)","2020-11-09T00:00:00Z","56","635711","united kingdom","13873","fhd 2k","online",3,"united_kingdom"
730,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62027?checkedby:iptvcat.com","BT Sport 2 (tr)(1080)","2020-11-09T00:00:00Z","56","635711","united kingdom","13873","fhd 2k","online",4,"sport"
731,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62028?checkedby:iptvcat.com","BT Sport 3 (tr)(1080)","2020-11-09T00:00:00Z","50","635712","united kingdom","13873","fhd 2k","online",1,"united kingdom"
731,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62028?checkedby:iptvcat.com","BT Sport 3 (tr)(1080)","2020-11-09T00:00:00Z","50","635712","united kingdom","13873","fhd 2k","online",2,"europe"
731,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62028?checkedby:iptvcat.com","BT Sport 3 (tr)(1080)","2020-11-09T00:00:00Z","50","635712","united kingdom","13873","fhd 2k","online",3,"united_kingdom"
731,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62028?checkedby:iptvcat.com","BT Sport 3 (tr)(1080)","2020-11-09T00:00:00Z","50","635712","united kingdom","13873","fhd 2k","online",4,"sport"
732,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62029?checkedby:iptvcat.com","BT Sport ESPN (tr)(1080)","2020-11-09T00:00:00Z","50","635713","united kingdom","2334","sd","online",1,"united kingdom"
732,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62029?checkedby:iptvcat.com","BT Sport ESPN (tr)(1080)","2020-11-09T00:00:00Z","50","635713","united kingdom","2334","sd","online",2,"europe"
732,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62029?checkedby:iptvcat.com","BT Sport ESPN (tr)(1080)","2020-11-09T00:00:00Z","50","635713","united kingdom","2334","sd","online",3,"united_kingdom"
732,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62029?checkedby:iptvcat.com","BT Sport ESPN (tr)(1080)","2020-11-09T00:00:00Z","50","635713","united kingdom","2334","sd","online",4,"sport"
733,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62032?checkedby:iptvcat.com","BT Sport ESPN (tr)(720)","2020-11-09T00:00:00Z","67","635714","united kingdom","2334","sd","online",1,"united kingdom"
733,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62032?checkedby:iptvcat.com","BT Sport ESPN (tr)(720)","2020-11-09T00:00:00Z","67","635714","united kingdom","2334","sd","online",2,"europe"
733,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62032?checkedby:iptvcat.com","BT Sport ESPN (tr)(720)","2020-11-09T00:00:00Z","67","635714","united kingdom","2334","sd","online",3,"united_kingdom"
733,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62032?checkedby:iptvcat.com","BT Sport ESPN (tr)(720)","2020-11-09T00:00:00Z","67","635714","united kingdom","2334","sd","online",4,"sport"
734,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62033?checkedby:iptvcat.com","BT Sport Europe (tr)(1080)","2020-11-09T00:00:00Z","100","635715","united kingdom","1509","sd","online",1,"united kingdom"
734,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62033?checkedby:iptvcat.com","BT Sport Europe (tr)(1080)","2020-11-09T00:00:00Z","100","635715","united kingdom","1509","sd","online",2,"europe"
734,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62033?checkedby:iptvcat.com","BT Sport Europe (tr)(1080)","2020-11-09T00:00:00Z","100","635715","united kingdom","1509","sd","online",3,"united_kingdom"
734,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62033?checkedby:iptvcat.com","BT Sport Europe (tr)(1080)","2020-11-09T00:00:00Z","100","635715","united kingdom","1509","sd","online",4,"sport"
735,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49883?checkedby:iptvcat.com","BT Sport Extra 5 HD","2020-11-10T00:00:00Z","21","635450","united kingdom","1509","sd","offline",1,"united kingdom"
735,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49883?checkedby:iptvcat.com","BT Sport Extra 5 HD","2020-11-10T00:00:00Z","21","635450","united kingdom","1509","sd","offline",2,"europe"
735,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49883?checkedby:iptvcat.com","BT Sport Extra 5 HD","2020-11-10T00:00:00Z","21","635450","united kingdom","1509","sd","offline",3,"united_kingdom"
735,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49883?checkedby:iptvcat.com","BT Sport Extra 5 HD","2020-11-10T00:00:00Z","21","635450","united kingdom","1509","sd","offline",4,"sport"
736,"http://185.246.210.92:80/danielvell@gmail.com/xeC8NAO9/33?checkedby:iptvcat.com","BT Sports 1","2020-11-09T00:00:00Z","31","557239","united kingdom","7004","fhd 2k","online",1,"united kingdom"
736,"http://185.246.210.92:80/danielvell@gmail.com/xeC8NAO9/33?checkedby:iptvcat.com","BT Sports 1","2020-11-09T00:00:00Z","31","557239","united kingdom","7004","fhd 2k","online",2,"europe"
736,"http://185.246.210.92:80/danielvell@gmail.com/xeC8NAO9/33?checkedby:iptvcat.com","BT Sports 1","2020-11-09T00:00:00Z","31","557239","united kingdom","7004","fhd 2k","online",3,"united_kingdom"
736,"http://185.246.210.92:80/danielvell@gmail.com/xeC8NAO9/33?checkedby:iptvcat.com","BT Sports 1","2020-11-09T00:00:00Z","31","557239","united kingdom","7004","fhd 2k","online",4,"sport"
737,"http://tv2iptv.com:8080/ammar/ammar/20039?checkedby:iptvcat.com","BT_SPORT_2","2020-11-10T00:00:00Z","21","635381","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
737,"http://tv2iptv.com:8080/ammar/ammar/20039?checkedby:iptvcat.com","BT_SPORT_2","2020-11-10T00:00:00Z","21","635381","united kingdom","7004","fhd 2k","offline",2,"europe"
737,"http://tv2iptv.com:8080/ammar/ammar/20039?checkedby:iptvcat.com","BT_SPORT_2","2020-11-10T00:00:00Z","21","635381","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
737,"http://tv2iptv.com:8080/ammar/ammar/20039?checkedby:iptvcat.com","BT_SPORT_2","2020-11-10T00:00:00Z","21","635381","united kingdom","7004","fhd 2k","offline",4,"sport"
738,"http://tv2iptv.com:8080/ammar/ammar/20040?checkedby:iptvcat.com","BT_SPORT_3","2020-11-10T00:00:00Z","21","635382","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
738,"http://tv2iptv.com:8080/ammar/ammar/20040?checkedby:iptvcat.com","BT_SPORT_3","2020-11-10T00:00:00Z","21","635382","united kingdom","7004","fhd 2k","offline",2,"europe"
738,"http://tv2iptv.com:8080/ammar/ammar/20040?checkedby:iptvcat.com","BT_SPORT_3","2020-11-10T00:00:00Z","21","635382","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
738,"http://tv2iptv.com:8080/ammar/ammar/20040?checkedby:iptvcat.com","BT_SPORT_3","2020-11-10T00:00:00Z","21","635382","united kingdom","7004","fhd 2k","offline",4,"sport"
739,"http://tv2iptv.com:8080/ammar/ammar/20024?checkedby:iptvcat.com","Baby TV","2020-11-10T00:00:00Z","21","635375","united kingdom","1509","sd","offline",1,"united kingdom"
739,"http://tv2iptv.com:8080/ammar/ammar/20024?checkedby:iptvcat.com","Baby TV","2020-11-10T00:00:00Z","21","635375","united kingdom","1509","sd","offline",2,"europe"
739,"http://tv2iptv.com:8080/ammar/ammar/20024?checkedby:iptvcat.com","Baby TV","2020-11-10T00:00:00Z","21","635375","united kingdom","1509","sd","offline",3,"united_kingdom"
740,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49832?checkedby:iptvcat.com","Blaze HD","2020-11-10T00:00:00Z","14","635443","united kingdom","1796","sd","offline",1,"united kingdom"
740,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49832?checkedby:iptvcat.com","Blaze HD","2020-11-10T00:00:00Z","14","635443","united kingdom","1796","sd","offline",2,"europe"
740,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49832?checkedby:iptvcat.com","Blaze HD","2020-11-10T00:00:00Z","14","635443","united kingdom","1796","sd","offline",3,"united_kingdom"
741,"http://tv2iptv.com:8080/ammar/ammar/20031?checkedby:iptvcat.com","Bloomberg","2020-11-10T00:00:00Z","13","635379","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
741,"http://tv2iptv.com:8080/ammar/ammar/20031?checkedby:iptvcat.com","Bloomberg","2020-11-10T00:00:00Z","13","635379","united kingdom","7004","fhd 2k","offline",2,"europe"
741,"http://tv2iptv.com:8080/ammar/ammar/20031?checkedby:iptvcat.com","Bloomberg","2020-11-10T00:00:00Z","13","635379","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
742,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49834?checkedby:iptvcat.com","Bloomberg News","2020-11-09T00:00:00Z","15","635445","united kingdom","7004","fhd 2k","offline",1,"united kingdom"
742,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49834?checkedby:iptvcat.com","Bloomberg News","2020-11-09T00:00:00Z","15","635445","united kingdom","7004","fhd 2k","offline",2,"europe"
742,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49834?checkedby:iptvcat.com","Bloomberg News","2020-11-09T00:00:00Z","15","635445","united kingdom","7004","fhd 2k","offline",3,"united_kingdom"
743,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62119?checkedby:iptvcat.com","Boomerang +1 (tr)(1080)","2020-11-10T00:00:00Z","23","635733","united kingdom","2334","sd","offline",1,"united kingdom"
743,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62119?checkedby:iptvcat.com","Boomerang +1 (tr)(1080)","2020-11-10T00:00:00Z","23","635733","united kingdom","2334","sd","offline",2,"europe"
743,"http://tv.mediaxyz1.com:8000/elnica232125/je25jO1Uac/62119?checkedby:iptvcat.com","Boomerang +1 (tr)(1080)","2020-11-10T00:00:00Z","23","635733","united kingdom","2334","sd","offline",3,"united_kingdom"
744,"http://csm-e.tm.yospace.com/csm/extlive/boxplus01,boxhits-desktop.m3u8?yo.up=http%3a//boxtv-origin-elb.cds1.yospace.com/uploads/boxhits/&checkedby:iptvcat.com","Box Hits, UK | Box Hits","2020-11-10T00:00:00Z","100","55821","united kingdom","3262, ...","sd","online",1,"united kingdom"
744,"http://csm-e.tm.yospace.com/csm/extlive/boxplus01,boxhits-desktop.m3u8?yo.up=http%3a//boxtv-origin-elb.cds1.yospace.com/uploads/boxhits/&checkedby:iptvcat.com","Box Hits, UK | Box Hits","2020-11-10T00:00:00Z","100","55821","united kingdom","3262, ...","sd","online",2,"europe"
744,"http://csm-e.tm.yospace.com/csm/extlive/boxplus01,boxhits-desktop.m3u8?yo.up=http%3a//boxtv-origin-elb.cds1.yospace.com/uploads/boxhits/&checkedby:iptvcat.com","Box Hits, UK | Box Hits","2020-11-10T00:00:00Z","100","55821","united kingdom","3262, ...","sd","online",3,"united_kingdom"
745,"http://csm-e.tm.yospace.com/csm/extlive/boxplus01,boxhits-desktop.m3u8?yo.up=http%3a%2f%2fboxtv-origin-elb.cds1.yospace.com%2fuploads%2fboxhits%2f&checkedby:iptvcat.com","Box Hits","2020-11-09T00:00:00Z","100","3272","united kingdom","3262, ...","sd","online",1,"united kingdom"
745,"http://csm-e.tm.yospace.com/csm/extlive/boxplus01,boxhits-desktop.m3u8?yo.up=http%3a%2f%2fboxtv-origin-elb.cds1.yospace.com%2fuploads%2fboxhits%2f&checkedby:iptvcat.com","Box Hits","2020-11-09T00:00:00Z","100","3272","united kingdom","3262, ...","sd","online",2,"united_kingdom"
746,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49841?checkedby:iptvcat.com","Box Office 3 HD","2020-11-09T00:00:00Z","36","635446","united kingdom","5020","hd","offline",1,"united kingdom"
746,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49841?checkedby:iptvcat.com","Box Office 3 HD","2020-11-09T00:00:00Z","36","635446","united kingdom","5020","hd","offline",2,"europe"
746,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49841?checkedby:iptvcat.com","Box Office 3 HD","2020-11-09T00:00:00Z","36","635446","united kingdom","5020","hd","offline",3,"united_kingdom"
747,"http://gold.euromediaserver.com:80/bahri2020/bahri2020/49842?checkedby:iptvcat.com","Box Office 4 HD","2020-11-10T00:00:00Z","23","635447","united kingdom","5020","hd","offline",1,"united kingdom"
